height, seconds, txs, tx_per_sec, inputs, outputs
201393, 10.47, 135, 12.89, 220, 271
201394, 1.954, 29, 14.84, 70, 59
201395, 4.831, 61, 12.63, 136, 137
201396, 21.058, 224, 10.64, 289, 551
201397, 9.378, 94, 10.02, 149, 181
201398, 3.623, 22, 6.07, 55, 131
201399, 7.385, 48, 6.50, 98, 487
201400, 26.525, 175, 6.60, 323, 837
201401, 4.83, 23, 4.76, 31, 45
201402, 20.201, 168, 8.32, 431, 373
201403, 2.047, 9, 4.40, 18, 17
201404, 45.727, 454, 9.93, 1003, 1320
201405, 9.048, 94, 10.39, 173, 180
201406, 57.2, 561, 9.81, 966, 2335
201407, 38.967, 164, 4.21, 320, 4989
201408, 52.332, 355, 6.78, 787, 5209
201409, 11.901, 103, 8.65, 178, 581
201410, 76.103, 694, 9.12, 1121, 1550
201411, 26.329, 103, 3.91, 550, 331
201412, 32.847, 339, 10.32, 890, 717
201413, 3.883, 9, 2.32, 19, 17
201414, 40.694, 320, 7.86, 872, 793
201415, 41.766, 323, 7.73, 764, 919
201416, 28.691, 111, 3.87, 194, 302
201417, 71.879, 325, 4.52, 440, 645
201418, 106.338, 720, 6.77, 1095, 1563
201419, 142.298, 496, 3.49, 2418, 1758
201420, 86.416, 434, 5.02, 952, 1101
