height, seconds, txs, tx_per_sec, inputs, outputs
201434, 21.277, 183, 8.60, 263, 357
201435, 57.899, 423, 7.31, 929, 1314
201436, 8.639, 49, 5.67, 151, 120
201437, 1.976, 8, 4.05, 17, 14
201438, 2.574, 13, 5.05, 15, 24
201439, 21.116, 155, 7.34, 224, 300
201440, 86.634, 861, 9.94, 1603, 1989
201441, 28.924, 236, 8.16, 723, 498
201442, 31.55, 239, 7.58, 324, 462
201443, 15.249, 124, 8.13, 243, 226
201444, 15.305, 131, 8.56, 231, 260
201445, 72.676, 675, 9.29, 1034, 1566
201446, 17.256, 107, 6.20, 321, 223
201447, 23.564, 166, 7.04, 483, 359
201448, 18.967, 119, 6.27, 328, 451
201449, 53.022, 231, 4.36, 1268, 512
201450, 37.813, 320, 8.46, 590, 666
201451, 2.276, 9, 3.95, 17, 15
201452, 75.182, 552, 7.34, 1030, 1346
201453, 21.388, 141, 6.59, 239, 286
201454, 17.029, 130, 7.63, 231, 325
201455, 33.497, 274, 8.18, 583, 514
201456, 40.834, 298, 7.30, 527, 626
201457, 17.851, 119, 6.67, 226, 241
201458, 22.558, 153, 6.78, 224, 294
201459, 3.284, 10, 3.05, 16, 17
201460, 57.743, 418, 7.24, 736, 888
201461, 21.875, 177, 8.09, 214, 338
201462, 4.32, 13, 3.01, 17, 25
201463, 40.592, 209, 5.15, 716, 441
