height, seconds, txs, tx_per_sec, inputs, outputs
201464, 1.22, 10, 8.20, 17, 17
201465, 48.47, 324, 6.68, 604, 1980
201466, 2.569, 9, 3.50, 17, 16
201467, 22.5, 138, 6.13, 234, 275
201468, 68.442, 358, 5.23, 680, 856
201469, 54.791, 388, 7.08, 649, 835
201470, 45.578, 185, 4.06, 255, 358
201471, 48.538, 292, 6.02, 654, 639
201472, 47.816, 224, 4.68, 448, 716
201473, 26.627, 99, 3.72, 198, 202
201474, 1.428, 11, 7.70, 13, 20
201475, 1.053, 6, 5.70, 15, 11
201476, 36.429, 248, 6.81, 444, 628
201477, 9.019, 60, 6.65, 85, 141
201478, 26.127, 167, 6.39, 300, 334
201479, 14.193, 93, 6.55, 153, 172
201480, 13.769, 67, 4.87, 369, 134
201481, 22.037, 211, 9.57, 405, 465
201482, 3.07, 5, 1.63, 21, 7
201483, 28.313, 229, 8.09, 374, 458
201484, 11.12, 85, 7.64, 211, 167
201485, 2.095, 8, 3.82, 18, 15
201486, 20.364, 165, 8.10, 310, 331
201487, 87.095, 444, 5.10, 863, 953
201488, 18.356, 64, 3.49, 161, 126
201489, 41.019, 214, 5.22, 291, 407
201490, 53.814, 295, 5.48, 566, 620
201491, 100.135, 139, 1.39, 1565, 277
201492, 28.623, 146, 5.10, 226, 285
201493, 35.531, 155, 4.36, 321, 309
