height, seconds, txs, tx_per_sec, inputs, outputs
201630, 29.815, 221, 7.41, 590, 467
201631, 26.105, 192, 7.35, 387, 392
201632, 16.504, 120, 7.27, 302, 242
201633, 8.825, 60, 6.80, 150, 116
201634, 40.776, 290, 7.11, 627, 691
201635, 13.308, 100, 7.51, 151, 197
201636, 83.679, 976, 11.66, 1829, 2386
201637, 23.728, 198, 8.34, 260, 386
201638, 2.652, 8, 3.02, 16, 16
201639, 1.425, 8, 5.61, 17, 15
201640, 46.385, 531, 11.45, 892, 1244
201641, 10.12, 96, 9.49, 135, 182
201642, 42.789, 232, 5.42, 887, 590
201643, 7.274, 47, 6.46, 72, 86
201644, 10.99, 38, 3.46, 214, 110
201645, 4.873, 33, 6.77, 42, 64
201646, 43.893, 302, 6.88, 1030, 767
201647, 27.355, 84, 3.07, 579, 178
201648, 10.976, 65, 5.92, 211, 266
201649, 23.205, 182, 7.84, 448, 438
201650, 10.019, 86, 8.58, 211, 170
201651, 10.83, 85, 7.85, 168, 244
201652, 35.283, 259, 7.34, 705, 536
201653, 17.625, 77, 4.37, 371, 156
201654, 18.964, 51, 2.69, 361, 133
201655, 34.389, 279, 8.11, 709, 621
201656, 19.816, 96, 4.84, 306, 185
201657, 14.978, 131, 8.75, 233, 257
201658, 3.166, 11, 3.47, 16, 19
201659, 87.249, 755, 8.65, 1121, 1550
