height, seconds, txs, tx_per_sec, inputs, outputs
201678, 35.93, 213, 5.93, 1448, 470
201679, 13.476, 96, 7.12, 353, 204
201680, 26.732, 78, 2.92, 268, 153
201681, 15.558, 89, 5.72, 153, 375
201682, 10.473, 78, 7.45, 162, 155
201683, 36.347, 307, 8.45, 776, 635
201684, 15.413, 121, 7.85, 324, 328
201685, 60.193, 174, 2.89, 555, 415
201686, 105.495, 552, 5.23, 1348, 1105
201687, 6.488, 52, 8.01, 84, 102
201688, 72.308, 356, 4.92, 1389, 741
201689, 28.941, 334, 11.54, 420, 641
201690, 14.974, 183, 12.22, 374, 482
201691, 61.921, 368, 5.94, 1371, 858
201692, 22.09, 159, 7.20, 246, 304
201693, 46.906, 320, 6.82, 690, 644
201694, 4.281, 29, 6.77, 46, 42
201695, 9.167, 97, 10.58, 204, 194
201696, 3.285, 24, 7.31, 45, 52
201697, 20.706, 63, 3.04, 330, 195
201698, 9.661, 130, 13.46, 298, 286
201699, 23.988, 268, 11.17, 516, 723
201700, 10.407, 104, 9.99, 203, 235
201701, 17.055, 165, 9.67, 222, 315
201702, 80.296, 310, 3.86, 1002, 2455
201703, 31.646, 179, 5.66, 575, 435
201704, 11.693, 123, 10.52, 205, 243
201705, 18.102, 132, 7.29, 240, 257
201706, 93.518, 524, 5.60, 1249, 1211
201707, 19.018, 81, 4.26, 177, 172
